X,Y,Z
737293.12,7099160.58,14.48
737276.84,7099174.27,14.11
737258.59,7099185.74,13.98
737248,7099203.15,13.91
737247.13,7099224.53,13.71
737250.38,7099246.87,13.7
737247.11,7099268.6,13.6
737232.21,7099282.82,13.34
737213.23,7099292.01,13.31
737198.99,7099307.13,13.31
737186.02,7099324.7,13.04
737172.62,7099341.67,12.81
737159,7099358.55,12.64
737146.33,7099375.87,12.55
737133.77,7099392.72,12.48
737123.69,7099412.51,12.45
737112.42,7099431.9,12.37
737103.47,7099452.1,12.3
737102.32,7099474.27,12.24
737096.87,7099495.65,12.23
737083.31,7099513.11,12.07
737069.17,7099530.4,11.89
737055.5,7099547.74,11.83
737045.17,7099567.31,11.89
737034.96,7099587.06,12.13
737023.07,7099606.01,11.86
737009.61,7099623.66,10.76
737003.09,7099644.56,9.86
737000.38,7099667.37,9.44
736989.67,7099686.11,9.15
736975.7,7099703.08,8.9
736963.88,7099721.98,8.78
736953.55,7099741.8,8.56
736943.93,7099762.43,8.33
736926.04,7099773.75,8.12
736908.67,7099784.82,8.02
736904.44,7099804.25,7.84
736906.81,7099826.72,7.77
736897.05,7099846.23,7.56
736881.1,7099860.51,7.1
736865.48,7099876.55,6.59
736850.49,7099893.4,6.09
736839.14,7099911.01,5.53
736837.09,7099933.5,5.29
736830.45,7099955.35,5.25
736816.55,7099973.25,5.11
736801.65,7099989.76,5.01
736786.25,7100005.96,4.94
736771.8,7100023.05,4.87
736761.11,7100042.41,4.68
736759.45,7100064.52,4.8
736757,7100086.77,5.01
736742.55,7100103.25,5.1
736724.94,7100116.25,5.19
736714.04,7100135.28,5.36
736707.74,7100157.2,5.34
736700.72,7100179.5,5.36
736688.38,7100198.57,5.41
736676.45,7100218.32,5.49
736664.9,7100238.04,5.57
736653.74,7100258.16,5.69
736643.31,7100278.8,5.81
736633.63,7100299.72,5.86
736620.8,7100318.87,5.89
